Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,2078,太阳纸业,山东太阳纸业股份有限公司,"SHAN DONG SUN PAPER INDUSTRY JOINT STOCK CO., LTD.",5,工业,C31,造纸及纸制品业,C22,造纸及纸制品业,2000/4/26,2006/11/16,2006/11/16,CNY,15.7,16.7,CNY,75000,CNY,2006/11/1,1,2,A,,2008/8/8,,4
10,2079,苏州固锝,苏州固锝电子股份有限公司,"Suzhou Goodark Electronics Co., Ltd.",5,工业,C51,电子元器件制造业,C39,计算机、通信和其他电子设备制造业,2002/10/22,2006/11/16,2006/11/16,CNY,5.39,6.39,CNY,38000,CNY,2006/10/30,1,2,A,,2008/3/14,,4
10,2080,中材科技,中材科技股份有限公司,"Sinoma Science and Technology Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,2001/12/28,2006/11/20,2006/11/20,CNY,7.98,8.98,CNY,37900,CNY,2006/11/3,1,2,A,,2017/12/5,,4
10,2081,金螳螂,苏州金螳螂建筑装饰股份有限公司,Suzhou Gold Mantis Construction and Decoration Co.Ltd.,4,综合,E05,装修装饰业,E50,建筑装饰和其他建筑业,2004/4/30,2006/11/20,2006/11/20,CNY,11.8,12.8,CNY,24000,CNY,2006/11/2,1,2,A,,2017/12/5,,4
10,2082,栋梁新材,浙江栋梁新材股份有限公司,"Zhe Jiang Dongliang New Building Materials Co., Ltd.",5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,1999/3/31,2006/11/20,2006/11/20,CNY,5.36,6.36,CNY,30000,CNY,2006/11/3,1,2,N,,2017/12/18,,4
10,2083,孚日股份,孚日集团股份有限公司,"SUNVIM GROUP CO., LTD.",5,工业,C11,纺织业,C17,纺织业,2002/2/6,2006/11/24,2006/11/24,CNY,5.69,6.69,CNY,79000,CNY,2006/11/10,1,2,A,,2017/12/5,,4
10,2084,海鸥卫浴,广州海鸥卫浴用品股份有限公司,"Guangzhou Seagull Kitchen and Bath Products Co., Ltd.",5,工业,C69,金属制品业,C33,金属制品业,2003/8/12,2006/11/24,2006/11/24,CNY,7.03,8.03,CNY,44500,CNY,2006/11/10,1,2,A,,2017/12/5,,4
10,2085,万丰奥威,浙江万丰奥威汽轮股份有限公司,"ZHEJIANG WANFENG AUTO WHEEL CO., LTD.",5,工业,C7505,汽车制造业,C36,汽车制造业,2001/9/30,2006/11/28,2006/11/28,CNY,4.66,5.66,CNY,80000,CNY,2006/11/13,1,2,N,,2018/2/2,,4
10,2086,东方海洋,山东东方海洋科技股份有限公司,"Shandong Oriental Ocean Sci-tech Co., Ltd.",4,综合,A07,渔业,A04,渔业,2001/12/19,2006/11/28,2006/11/28,CNY,6.49,7.49,CNY,34500,CNY,2006/11/10,1,2,A,,2018/2/12,,4
10,2087,新野纺织,河南新野纺织股份有限公司,"Henan Xinye Textile Co., Ltd.",5,工业,C11,纺织业,C17,纺织业,1994/4/24,2006/11/30,2006/11/30,CNY,4.19,5.19,CNY,80000,CNY,2006/11/17,1,2,N,,2018/2/5,,4
10,2088,鲁阳节能,山东鲁阳节能材料股份有限公司,"LUYANG ENERGY-SAVING MATERIALS CO.,LTD.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,1992/10/14,2006/11/30,2006/11/30,CNY,10,11,CNY,26000,CNY,2006/11/17,1,2,A,,2017/12/5,,4
10,2089,新海宜,新海宜科技集团股份有限公司,"NEW SEA UNION TECHNOLOGY GROUP CO.,LTD.",5,工业,G81,通信及相关设备制造业,C39,计算机、通信和其他电子设备制造业,1997/1/1,2006/11/30,2006/11/30,CNY,7.66,8.66,CNY,17700,CNY,2006/11/17,1,2,N,,2018/2/5,,4
10,2090,金智科技,江苏金智科技股份有限公司,"Wiscom System Co., Ltd.",5,工业,C7610,输配电及控制设备制造业,C38,电气机械及器材制造业,2000/12/13,2006/12/8,2006/12/8,CNY,13.2,14.2,CNY,17000,CNY,2006/11/24,1,2,A,,2017/12/5,,4
10,2091,江苏国泰,江苏国泰国际集团国贸股份有限公司,"Jiangsu Guotai International Group Guomao Co., Ltd.",6,商业,H01,食品、饮料、烟草和家庭用品批发业,F51,批发业,1998/5/7,2006/12/8,2006/12/8,CNY,7,8,CNY,32000,CNY,2006/11/24,1,2,A,,2017/12/5,,4
10,2092,中泰化学,新疆中泰化学股份有限公司,"Xinjiang Zhongtai Chemical Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,2001/12/18,2006/12/8,2006/12/8,CNY,5.6,6.6,CNY,100000,CNY,2006/11/24,1,2,A,,2017/12/5,,4
10,2093,国脉科技,国脉科技股份有限公司,"GUOMAI TECHNOLOGIES,INC.",2,公用事业,L20,信息传播服务业,I65,软件和信息技术服务业,2000/12/29,2006/12/15,2006/12/15,CNY,9.1,10.1,CNY,16700,CNY,2006/12/4,1,2,A,,2017/12/5,,4
10,2094,青岛金王,青岛金王应用化学股份有限公司,"Qingdao Kingking Applied Chemistry Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,2001/4/24,2006/12/15,2006/12/15,CNY,6.69,7.69,CNY,34000,CNY,2006/12/4,1,2,A,,2017/12/5,,4
10,2095,生意宝,浙江网盛生意宝股份有限公司,"ZHEJIANG NETSUN CO., LTD.",2,公用事业,G8705,计算机网络开发、维护与咨询,I64,互联网和相关服务,2003/11/7,2006/12/15,2006/12/15,CNY,13.09,14.09,CNY,15000,CNY,2006/12/4,1,2,A,,2017/12/5,,4
10,2096,南岭民爆,湖南南岭民用爆破器材股份有限公司,"Hunan Nanling Industry Explosive Material Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,2001/8/10,2006/12/22,2006/12/22,CNY,8.38,9.38,CNY,15000,CNY,2006/12/11,1,2,A,,2017/12/5,,4
10,2097,山河智能,山河智能装备股份有限公司,"Sunward Intelligent Equipment Co., Ltd.",5,工业,C73,专用设备制造业,C35,专用设备制造业,2001/1/19,2006/12/22,2006/12/22,CNY,9,10,CNY,33200,CNY,2006/12/8,1,2,A,,2017/12/5,,4
10,2098,浔兴股份,福建浔兴拉链科技股份有限公司,"Fujian SBS Zipper Science and Technology Co., Ltd.",5,工业,C99,其他制造业,C41,其他制造业,2003/4/17,2006/12/22,2006/12/22,CNY,4.35,5.35,CNY,55000,CNY,2006/12/8,1,2,N,,2017/11/13,,4
10,2099,海翔药业,浙江海翔药业股份有限公司,"Zhejiang Hisoar Pharmaceutical Co., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,2004/5/13,2006/12/26,2006/12/26,CNY,10.56,11.56,CNY,27000,CNY,2006/12/11,1,2,A,,2017/12/5,,4
10,2100,天康生物,天康生物股份有限公司,TECON BIOLOGY Co.LTD,5,工业,C01,食品加工业,C13,农副食品加工业,2000/12/28,2006/12/26,2006/12/26,CNY,9.86,10.86,CNY,16000,CNY,2006/12/11,1,2,A,,2017/12/5,,4
10,2101,广东鸿图,广东鸿图科技股份有限公司,"Guangdong Hongtu Technology (Holding) Co., Ltd.",5,工业,C7505,汽车制造业,C36,汽车制造业,2000/12/22,2006/12/29,2006/12/29,CNY,10.41,11.41,CNY,17000,CNY,2006/12/18,1,2,A,,2017/12/5,,4
