prov_name,指标,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),批发和零售贸易餐饮业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),交通运输、仓储和邮电通信业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人)
山西省,2005,4230.53,262.42,2357.04,1611.07,262.42,2117.68,239.36,269.94,NA,375.11,NA,109.6,135.07,106,615.35,12495
山西省,2004,3571.37,276.3,1919.4,1375.67,276.3,1711.3,208.1,229.08,NA,370.64,NA,96.59,110.29,95.1,473.97,10742
山西省,2003,2855.23,215.19,1463.38,1176.65,215.19,1291.94,171.44,NA,258.15,NA,320.71,NA,118.48,78.73,400.58,8642
山西省,2002,2324.8,197.8,1134.31,992.69,197.8,991.44,142.87,NA,226.21,NA,268.23,NA,124.1,65.83,308.32,7082
山西省,2001,2029.53,171.09,956.01,902.43,171.09,832.45,123.56,NA,201.68,NA,227.83,NA,139.24,56.94,276.73,6226
山西省,2e3,1845.72,179.86,858.37,807.49,179.86,748.65,109.72,NA,180.16,NA,203.07,NA,127.74,50.45,246.07,5722
山西省,1999,1667.1,159.96,785.47,721.67,159.96,684.55,100.92,NA,160.21,NA,183.73,NA,115.07,41.82,220.85,5230
山西省,1998,1611.08,207.25,761.25,642.58,207.25,658.55,102.7,NA,152.49,NA,158.54,NA,113.32,30.88,187.35,5104
山西省,1997,1476,191.84,707.57,576.58,191.84,626.36,81.22,NA,137.69,NA,136.79,NA,115.81,17.35,168.94,4724
内蒙古自治区,2016,18128.1,1637.39,8553.63,7937.08,1663.87,7233,1322.5,1841.71,NA,1141.97,NA,682.12,992.14,453.8,2796.99,72064
内蒙古自治区,2015,17831.51,1617.42,9000.58,7213.51,1643.8,7739.18,1263.16,1728.3,NA,1087.32,NA,628.87,829.2,441.37,2471.59,71101
内蒙古自治区,2014,17770.19,1627.85,9119.79,7022.55,1651.06,7904.4,1217.62,1756.89,NA,1313.68,NA,569.25,724.16,442.95,2189.5,71046
内蒙古自治区,2013,16916.5,1575.76,9104.08,6236.66,1598.19,7944.4,1161.77,1547.04,NA,1302,NA,468.85,625.14,414.59,1854.52,67836
内蒙古自治区,2012,15880.58,1448.58,8801.5,5630.5,1448.58,7735.78,1065.71,1415.47,NA,1185.3,NA,433.94,502.01,385.22,1708.56,63886
内蒙古自治区,2011,14359.88,1306.3,8037.69,5015.89,1306.3,7101.6,936.09,1216.6,NA,1040.03,NA,381.64,447.46,384.76,1545.41,57974
内蒙古自治区,2010,11672,1095.28,6367.69,4209.03,1095.28,5618.4,749.29,1051.96,NA,875.61,NA,332.24,346.44,309.25,1293.53,47347
内蒙古自治区,2009,9740.25,929.6,5114,3696.65,929.6,4503.33,610.67,915.89,NA,773.29,NA,294.73,291.1,286.65,1134.99,39735
内蒙古自治区,2008,8496.2,907.95,4376.19,3212.06,907.95,3879.42,496.77,781.95,NA,698.15,NA,254.34,219.09,273.3,985.25,34869
内蒙古自治区,2007,6423.18,762.1,3193.67,2467.41,762.1,2781.78,411.89,588.02,NA,545.28,NA,199.69,148.3,191.01,795.11,26521
内蒙古自治区,2006,4944.25,634.94,2374.96,1934.35,634.94,2025.72,349.24,441.92,NA,434.56,NA,165.81,108.21,136.5,647.35,20047
内蒙古自治区,2005,3905.03,589.56,1773.21,1542.26,589.56,1477.88,295.33,338.12,NA,361.31,NA,140.11,72.52,98.75,531.45,16331
内蒙古自治区,2004,3041.07,522.8,1248.27,1270,522.8,1015.37,232.9,278.07,NA,303.92,NA,120.52,55.89,73.81,437.79,12767
内蒙古自治区,2003,2388.38,420.1,967.49,1000.79,420.1,773.5,193.99,NA,312.12,NA,296.8,NA,55.89,61.05,274.93,10039
内蒙古自治区,2002,1940.94,374.69,754.78,811.47,374.69,614.89,139.89,NA,266.54,NA,244.28,NA,48.39,51.48,200.78,8162
内蒙古自治区,2001,1713.81,358.89,655.68,699.24,358.89,541.02,114.66,NA,226.46,NA,204.42,NA,43.99,43.77,180.6,7216
内蒙古自治区,2e3,1539.12,350.8,582.57,605.74,350.8,484.19,98.38,NA,195.39,NA,175.46,NA,39.92,33.85,161.12,6502
内蒙古自治区,1999,1379.31,342.91,510.47,525.93,342.91,425.13,85.34,NA,168.59,NA,145.98,NA,36.26,26.1,149,5861
内蒙古自治区,1998,1262.54,341.62,458.86,462.06,341.62,382.44,76.42,NA,144.96,NA,126.06,NA,33.2,20.22,137.62,5406
内蒙古自治区,1997,1153.51,322.52,422.39,408.6,322.52,355.1,67.29,NA,126.82,NA,114.08,NA,30.75,16.3,120.65,4980
辽宁省,2016,22246.9,2173.06,8606.54,11467.3,2296.55,6818.32,1880.85,2822.87,NA,1245.27,NA,457,1829.22,1037.33,3859.49,50791
辽宁省,2015,28669.02,2384.03,13041.97,13243.02,2505.1,11270.82,1881.32,2968.98,NA,1702.8,NA,620.27,1869.46,1169.67,4680.57,65354
辽宁省,2014,28626.58,2285.75,14384.64,11956.19,2403.17,12656.83,1875.69,2653.65,NA,1488.93,NA,568.77,1482.17,1145.7,4351.67,65201
辽宁省,2013,27213.22,2216.15,13963.95,11033.12,2321.64,12300.7,1806.97,2412.95,NA,1396.68,NA,536.39,1249.71,1191.23,3996.95,61996
辽宁省,2012,24846.43,2155.82,13230.49,9460.12,2155.82,11605.07,1625.42,2191.19,NA,1297.18,NA,487.49,969.37,1050.03,3464.86,56649
辽宁省,2011,22226.7,1915.57,12152.15,8158.98,1915.57,10696.54,1455.61,1960.33,NA,1143.17,NA,436.13,755.57,876.12,2987.66,50760
辽宁省,2010,18457.27,1631.08,9976.82,6849.37,1631.08,8789.27,1187.55,1651.66,NA,926.81,NA,369.61,639.27,733.37,2528.65,42355
辽宁省,2009,15212.49,1414.9,7906.34,5891.25,1414.9,6925.63,980.71,1410.33,NA,790.56,NA,318.8,560.2,605.27,2206.09,35149
辽宁省,2008,13668.58,1302.02,7158.84,5207.72,1302.02,6359.43,799.41,1257.5,NA,734.13,NA,275.86,455.07,500.81,1984.35,31739
辽宁省,2007,11164.3,1133.42,5544.14,4486.74,1133.42,4892.45,651.69,1078.67,NA,665.63,NA,231.54,386.34,410.43,1714.13,26057
辽宁省,2006,9304.52,939.43,4566.83,3798.26,939.43,4017.02,549.81,919.43,NA,572.26,NA,202.49,303.41,318.54,1482.13,21802
辽宁省,2005,8047.26,882.41,3869.4,3295.45,882.41,3401.8,467.6,820.35,NA,493.75,NA,180.81,232.85,256.77,1310.92,18983
辽宁省,2004,6672,798.43,3061.62,2811.95,798.43,2680.41,381.21,685.98,NA,425,NA,163.2,188.04,203.1,1146.63,15835
辽宁省,2003,6002.54,615.8,2898.89,2487.85,615.8,2556.82,342.07,NA,803.21,NA,495.67,NA,145.38,188.49,855.1,14270
辽宁省,2002,5458.22,590.2,2609.85,2258.17,590.2,2331.95,277.9,NA,760.26,NA,425.41,NA,137.18,130.94,804.38,13e3
