prov_name,指标,城镇单位就业人员平均工资(元),农、林、牧、渔业城镇单位就业人员平均工资(元),采矿业城镇单位就业人员平均工资(元),制造业城镇单位就业人员平均工资(元),电力、燃气及水的生产和供应业城镇单位就业人员平均工资(元),建筑业城镇单位就业人员平均工资(元),交通运输、仓储和邮政业城镇单位就业人员平均工资(元),信息传输、计算机服务和软件业城镇单位就业人员平均工资(元),批发和零售业城镇单位就业人员平均工资(元),住宿和餐饮业城镇单位就业人员平均工资(元),金融业城镇单位就业人员平均工资(元),房地产业城镇单位就业人员平均工资(元),租赁和商务服务业城镇单位就业人员平均工资(元),科学研究、技术服务和地质勘查业城镇单位就业人员平均工资(元),水利、环境和公共设施管理业城镇单位就业人员平均工资(元),居民服务和其他服务业城镇单位就业人员平均工资(元),教育城镇单位就业人员平均工资(元),卫生、社会保障和社会福利业城镇单位就业人员平均工资(元),文化、体育和娱乐业城镇单位就业人员平均工资(元),公共管理和社会组织城镇单位就业人员平均工资(元)
江苏省,2016,71574,37953,62330,66994,116629,58172,71773,130501,67127,45013,122648,72680,60258,100375,60723,57905,88282,92202,84242,96402
江苏省,2015,66196,33957,60418,62731,113893,55598,66981,117249,63185,42391,119198,66686,54677,91213,54062,54116,78115,81693,77468,82372
江苏省,2014,60867,32347,60621,58409,104454,51856,61473,102341,56749,34786,111934,61740,52353,81571,49111,49159,70130,73779,71787,76028
江苏省,2013,57177,29334,58932,53980,96912,49693,56782,94616,52495,31574,105289,56357,48648,77708,44635,45774,66056,68571,63059,73532
江苏省,2012,50639,26300,50963,42641,80246,37619,49167,80340,40887,30586,92156,53489,38421,76548,40233,45981,59912,61735,58582,70908
江苏省,2011,45487,23319,47936,37720,74137,33549,44266,72919,37256,27236,86520,48591,33643,70982,35896,41160,54499,53117,52576,64229
江苏省,2010,39772,20736,41573,32209,66131,29679,38584,58902,31451,24029,71115,43305,29776,60437,30940,34349,49340,46337,48360,58861
江苏省,2009,35217,17904,40115,27765,59577,26549,34015,48004,28985,21488,60164,38012,27413,53849,28323,28502,42158,41479,44856,54711
江苏省,2008,31297,14728,33111,25688,53702,23154,30227,45010,25458,20557,52051,34455,25442,48834,26865,25993,35205,37404,40249,48257
江苏省,2007,27212,12030,29877,22510,45922,19928,27887,44754,21920,18409,44417,31207,24076,42391,23549,23387,30488,32792,36773,39758
江苏省,2006,23657,10181,26385,19647,39066,18260,24811,40801,19163,16577,36760,27991,21928,36220,20234,20691,25352,28718,31667,34765
浙江省,2016,73326,61992,48428,60390,122323,50350,83408,145657,71347,45713,130813,71088,65365,99537,61104,58157,102888,117116,97257,108789
浙江省,2015,66668,53661,49149,55370,107952,48279,75002,126266,64327,42540,130734,66336,63241,98452,55026,48471,90882,104369,87177,93306
浙江省,2014,61572,50469,49626,51295,103547,46149,70156,114908,60533,40210,130337,61529,57268,90368,50161,46508,80038,95067,78311,85414
浙江省,2013,56571,47e3,46043,45895,93793,43251,64156,106946,54908,35829,124711,56607,52596,82352,46195,44727,74700,86220,73090,80118
浙江省,2012,50197,41718,45015,40464,85668,36901,57737,96741,50256,32827,117291,52212,47391,67761,41192,42613,70174,78385,66915,73676
浙江省,2011,45162,37570,35070,35363,82886,31590,54242,83493,45488,29056,112458,48153,39205,64799,36731,39230,66361,70101,61695,69421
浙江省,2010,40640,34088,28330,29671,77180,28595,48359,77125,39901,24679,98135,42290,32450,56621,32462,35127,63693,62508,56313,64667
