prov_name,指标,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、燃气及水的生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储及邮电通信业城镇单位就业人员(万人),信息传输、计算机服务和软件业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究、技术服务和地质勘查业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生、社会保障和社会福利业城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理和社会组织城镇单位就业人员(万人)
黑龙江省,2016,424.87,66.8,27.91,51.99,17.6,28.44,27.13,7.29,18.62,4.04,21.35,6.13,6.89,11.12,11.13,3.99,43.03,22.92,3.92,44.55
黑龙江省,2015,433.52,65.51,31.86,57.35,18.06,31.12,27.5,7.38,18.21,4.15,18.7,5.99,6.29,11.18,10.88,4.31,44.26,22.37,4,44.39
黑龙江省,2014,450.88,71.1,35.93,61.31,18.1,33.85,27.75,7.64,18.74,4.52,16.9,6.03,6.21,11.54,10.15,4.26,45.37,22.6,4.1,44.79
黑龙江省,2013,467.79,79.9,38.41,64.99,18.28,37.22,28.08,7.1,19.72,4.85,15.92,6.05,5.93,11.15,10.16,4.67,45.22,22.3,4.57,43.25
黑龙江省,2012,470.98,93.26,41.33,63.35,15.73,35.62,25.61,6.11,15.9,4.56,16.01,5.85,4.89,11.89,10.22,4.39,46.96,20.98,4.24,44.09
黑龙江省,2011,466.2,93.93,43.49,65.67,14.6,30.58,25.63,6.12,16.39,3.78,14.67,5.62,5.05,12.17,10.19,5.1,45.87,20.4,4.11,42.84
黑龙江省,2010,460,92.9,42.2,66.8,14.3,27,25.2,5.6,17.7,3.7,14.2,4.9,5.9,12,9.7,6.5,46.1,19.7,3.9,41.6
黑龙江省,2009,469.06,92.89,42.81,78.63,14.77,29.91,26.15,5.33,18.34,3.27,13.48,4.27,4.17,11.44,9.24,5.89,45.16,18.51,3.88,40.92
黑龙江省,2008,475.07,94.41,44,84.37,14.6,30.12,26.01,5.5,19.31,3.19,12.18,4.36,4.24,11.24,8.55,5.79,44.27,18.27,3.82,40.85
上海市,2016,627.78,2.48,0.05,181.05,4.37,32.93,51.08,26.78,78.36,24.3,35.51,25.38,52.2,23.19,8.59,6.3,29.68,18.95,6.03,20.53
上海市,2015,637.23,2.48,0.06,192.93,4.28,35.15,51.45,25.44,78.22,24,33.74,26.21,52,22.52,8.33,6.49,29.09,18.89,5.61,20.32
上海市,2014,648.88,2.37,0.06,206.1,4.59,37.28,51.37,24.78,78.01,24.39,33.03,25.59,48.92,22.54,8.57,6.65,29.42,19.03,5.67,20.52
上海市,2013,618.84,1.34,0.05,211.79,5.24,37.18,49.16,21.65,66.9,21.05,30.03,24.03,42.09,20.39,8.11,5.1,29.5,18.84,5.89,20.49
上海市,2012,555.73,1.23,0.05,218.73,5.83,48.86,37.95,8.55,59.84,20.13,29.46,15.2,17.22,12.23,6.17,3.3,27.99,17.38,5.11,20.49
上海市,2011,497.32,1.4,0.05,186.83,6.11,36.75,41.03,8.2,47.52,16.71,27.78,15.49,18.45,12.36,6.27,2.4,27.73,17.68,5.16,19.4
上海市,2010,392.9,1.5,0.1,141.3,5.4,11.3,36.3,6.7,26.4,11.7,23.6,11.2,18.6,23.2,5.9,3.3,26.1,16.7,4.7,18.7
上海市,2009,385.41,1.33,0.09,140.71,5.56,11.01,35.63,6.52,25.4,10.82,21.71,11.48,18,20.91,6.21,3.86,26.74,16.6,4.57,18.25
上海市,2008,377.22,1.21,0.08,143.04,5.51,11.08,34.05,5.63,24.11,9.85,20.65,10.66,18.34,18.13,5.71,4.03,27.1,15.97,4.39,17.67
江苏省,2016,1497.3,5.62,8.55,567.42,14.51,396.77,49.64,27.32,56.11,16.9,38.08,22.24,29.44,21.81,15.44,3.21,94.97,49.45,7.87,71.96
江苏省,2015,1552.08,5.83,10.6,595.2,17.39,417.33,49.23,28.26,58.6,17.34,35.05,22.65,31.32,21.77,15.45,3.35,95.98,47.93,7.77,71.02
江苏省,2014,1602.4,6.3,11.77,612.32,18.12,450.2,49.78,29.04,59.36,19.76,33.32,22.14,31.23,21.51,14.96,3.75,94.62,46.67,7.77,69.8
江苏省,2013,1503.25,6.6,13.62,555.44,18.14,420.53,48.41,30.46,61.39,19.2,30.79,21.19,31.86,19.22,14.03,3.57,89.47,43.87,7.72,67.75
江苏省,2012,830.94,8.6,12.83,359.67,12.87,69.5,30.61,10.79,33.48,11.94,29.36,8.23,12.32,12.78,13.27,1.26,88.85,41.12,6.07,67.39
江苏省,2011,811.28,9.35,12.85,353.69,13.21,65.19,31.35,9.92,32.09,11.73,28.94,7.93,11.18,11.96,12.99,1.11,87.08,39.66,6.02,65.01
